-96.	-18.	-7.	-7.
-64.	-50.	-39.	-39.
-64.	-50.	-39.	25.
-64.	-50.	25.	-39.
-64.	-50.	25.	25.
-64.	14.	-39.	-39.
-64.	14.	-39.	25.
-64.	14.	25.	-39.
-64.	14.	25.	25.
-32.	-82.	-7.	-7.
-32.	-18.	-71.	-7.
-32.	-18.	-71.	57.
-32.	-18.	-7.	-71.
-32.	-18.	-7.	-7.
-32.	-18.	-7.	57.
-32.	-18.	57.	-71.
-32.	-18.	57.	-7.
-32.	-18.	57.	57.
-32.	46.	-71.	-7.
-32.	46.	-7.	-71.
-32.	46.	-7.	-7.
-32.	46.	-7.	57.
-32.	46.	57.	-7.
-32.	46.	57.	57.
0.	-50.	-39.	-39.
0.	-50.	-39.	25.
0.	-50.	25.	-39.
0.	-50.	25.	25.
0.	14.	-39.	-39.
0.	14.	-39.	25.
0.	14.	-39.	89.
0.	14.	25.	-39.
0.	14.	25.	25.
0.	14.	25.	89.
0.	14.	89.	-39.
0.	14.	89.	25.
0.	78.	-39.	-39.
0.	78.	-39.	25.
0.	78.	25.	-39.
0.	78.	25.	25.
32.	-82.	-7.	-7.
32.	-18.	-71.	-7.
32.	-18.	-71.	57.
32.	-18.	-7.	-71.
32.	-18.	-7.	-7.
32.	-18.	-7.	57.
32.	-18.	57.	-71.
32.	-18.	57.	-7.
32.	-18.	57.	57.
32.	46.	-71.	-7.
32.	46.	-7.	-71.
32.	46.	-7.	-7.
32.	46.	-7.	57.
32.	46.	57.	-7.
32.	46.	57.	57.
64.	-50.	-39.	-39.
64.	-50.	-39.	25.
64.	-50.	25.	-39.
64.	-50.	25.	25.
64.	14.	-39.	-39.
64.	14.	-39.	25.
64.	14.	25.	-39.
64.	14.	25.	25.
96.	-18.	-7.	-7.
